index,term_expression,original_index
281,"or(subset_eq(B, index(cardinality(A), B)), subset_eq(index(cardinality(A), B), A))",4202
282,"subset_eq(index(cardinality(difference(A, B)), intersection(A, B)), index(cardinality(intersection(A, B)), B))",9110
283,"and(not(and(subset_eq(A, B), subset_eq(B, A))), subset_eq(index(cardinality(A), union(A, B)), B))",1194
284,"subset_eq(index(cardinality(difference(A, B)), A), difference(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))))",8618
285,"subset_eq(difference(A, index(cardinality(B), union(A, B))), index(cardinality(intersection(A, B)), B))",7315
286,"and(not(equals(cardinality(A), cardinality(B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(B, A))))",1690
287,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",649
288,"and(or(subset_eq(B, difference(A, A)), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",1559
289,"or(subset_eq(index(cardinality(A), union(A, B)), B), equals(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4778
290,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), union(difference(A, B), difference(B, A)))",2717
291,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), index(cardinality(difference(A, B)), intersection(A, B)))",7964
292,"or(subset_eq(A, difference(A, A)), subset_eq(index(cardinality(A), union(A, B)), A))",2969
293,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), difference(A, B))), index(cardinality(difference(A, A)), A))",6707
294,"or(subset_eq(A, difference(A, B)), greater_than(cardinality(difference(A, B)), cardinality(B)))",3026
295,"subset_eq(union(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), difference(difference(B, A), index(cardinality(A), union(A, B))))",6858
296,"subset_eq(index(cardinality(difference(B, A)), B), union(difference(B, A), index(cardinality(A), B)))",8759
297,"or(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), subset_eq(intersection(A, B), index(cardinality(B), A)))",3685
298,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), union(intersection(A, B), index(cardinality(A), union(A, B))))",9024
299,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), A))",6644
300,"subset_eq(index(cardinality(intersection(A, B)), B), index(cardinality(difference(A, A)), A))",8485
301,"subset_eq(union(difference(B, A), index(cardinality(B), A)), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",6035
302,"and(or(subset_eq(B, A), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), union(A, B))))",966
303,"or(subset_eq(A, B), or(subset_eq(A, difference(A, B)), greater_than(cardinality(A), cardinality(B))))",2819
304,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), difference(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",9427
305,"and(or(subset_eq(A, difference(A, B)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",1537
306,"or(greater_than(cardinality(B), cardinality(A)), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",278
307,"and(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), subset_eq(index(cardinality(A), B), difference(B, A)))",799
308,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), index(cardinality(B), A))",5614
309,"and(subset_eq(difference(A, B), index(cardinality(A), union(A, B))), subset_eq(index(cardinality(A), B), A))",2052
310,"subset_eq(index(cardinality(difference(A, B)), B), index(cardinality(difference(A, A)), A))",8681
311,"subset_eq(index(cardinality(A), union(A, B)), difference(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",5411
312,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(index(cardinality(B), A), B))",638
313,"or(or(subset_eq(A, B), equals(cardinality(A), cardinality(B))), greater_than(cardinality(difference(B, A)), cardinality(A)))",3561
314,"or(subset_eq(A, index(cardinality(A), B)), subset_eq(index(cardinality(A), union(A, B)), difference(B, A)))",4074
315,"and(or(subset_eq(A, B), subset_eq(B, A)), not(subset_eq(B, difference(A, A))))",171
316,"subset_eq(union(difference(A, B), index(cardinality(A), difference(B, A))), union(index(cardinality(B), A), index(cardinality(B), union(A, B))))",5962
317,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",1451
318,"or(and(subset_eq(A, B), subset_eq(B, A)), greater_than(cardinality(difference(B, A)), cardinality(A)))",2918
319,"subset_eq(union(difference(B, A), index(cardinality(B), union(A, B))), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",6060
320,"or(subset_eq(A, index(cardinality(B), A)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",4114
321,"and(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))), subset_eq(index(cardinality(B), difference(A, B)), index(cardinality(B), A)))",2748
322,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(A), B)), intersection(B, index(cardinality(A), union(A, B))))",8067
323,"subset_eq(union(intersection(A, B), index(cardinality(A), union(A, B))), difference(difference(B, A), index(cardinality(B), union(A, B))))",5674
324,"and(or(subset_eq(A, B), greater_than(cardinality(A), cardinality(B))), or(not(subset_eq(B, A)), subset_eq(A, difference(A, A))))",776
325,"and(not(subset_eq(B, A)), subset_eq(index(cardinality(A), B), A))",299
326,"and(not(subset_eq(A, difference(A, A))), subset_eq(index(cardinality(B), A), B))",1706
327,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(A, A)), B))",6643
328,"or(greater_than(cardinality(A), cardinality(B)), subset_eq(difference(A, B), index(cardinality(B), union(A, B))))",3123
329,"subset_eq(union(A, index(cardinality(B), union(A, B))), union(difference(A, B), index(cardinality(A), B)))",5666
330,"subset_eq(index(cardinality(difference(A, B)), B), index(cardinality(A), union(A, B)))",5571
331,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), index(cardinality(A), B))",1639
332,"and(not(subset_eq(A, B)), greater_than(cardinality(B), cardinality(difference(A, B))))",265
333,"subset_eq(union(index(cardinality(A), union(A, B)), index(cardinality(B), union(A, B))), index(cardinality(difference(B, A)), A))",6646
334,"subset_eq(index(cardinality(difference(A, B)), A), index(cardinality(A), union(A, B)))",5566
335,"subset_eq(index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))), union(B, index(cardinality(B), difference(A, B))))",9280
336,"or(subset_eq(intersection(A, B), index(cardinality(A), B)), subset_eq(index(cardinality(A), union(A, B)), intersection(A, B)))",4351
337,"subset_eq(index(cardinality(difference(B, A)), B), index(cardinality(intersection(A, B)), union(difference(A, B), difference(B, A))))",8817
338,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), difference(A, B))), difference(B, A))",2409
339,"subset_eq(B, index(cardinality(difference(B, A)), union(A, B)))",5271
340,"and(or(subset_eq(B, A), greater_than(cardinality(A), cardinality(B))), equals(cardinality(intersection(A, B)), cardinality(difference(B, A))))",1031
341,"subset_eq(difference(index(cardinality(B), A), index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), difference(A, B)))",7818
342,"or(or(subset_eq(A, B), greater_than(cardinality(B), cardinality(A))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3692
343,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(B), A)), index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))))",7922
344,"and(or(subset_eq(A, B), not(subset_eq(B, A))), subset_eq(index(cardinality(B), A), index(cardinality(B), union(A, B))))",655
345,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), index(cardinality(difference(A, A)), B))",6172
346,"subset_eq(index(cardinality(difference(A, B)), B), union(A, index(cardinality(A), union(A, B))))",8644
347,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), difference(A, index(cardinality(B), difference(A, B))))",9055
348,"and(or(subset_eq(B, A), subset_eq(A, difference(A, B))), subset_eq(index(cardinality(A), union(A, B)), A))",947
349,"subset_eq(index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))), difference(index(cardinality(A), union(A, B)), index(cardinality(A), difference(B, A))))",9431
350,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), union(index(cardinality(B), A), index(cardinality(B), union(A, B))))",8298
351,"subset_eq(index(cardinality(A), union(difference(A, B), difference(B, A))), index(cardinality(A), B))",5547
352,"subset_eq(intersection(intersection(A, B), index(cardinality(A), union(A, B))), index(cardinality(B), A))",3138
353,"subset_eq(difference(index(cardinality(A), union(A, B)), B), union(index(cardinality(B), A), index(cardinality(B), union(A, B))))",7055
354,"subset_eq(intersection(intersection(A, B), index(cardinality(A), union(A, B))), index(cardinality(difference(B, A)), intersection(A, B)))",7029
355,"or(subset_eq(difference(B, A), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(A), union(A, B)), union(difference(A, B), difference(B, A))))",4666
356,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), intersection(A, index(cardinality(A), union(A, B))))",9173
357,"subset_eq(index(cardinality(difference(A, A)), difference(B, A)), index(cardinality(difference(A, B)), union(difference(A, B), difference(B, A))))",9013
358,"greater_than(cardinality(difference(A, B)), cardinality(index(cardinality(A), union(A, B))))",9542
359,"or(subset_eq(index(cardinality(B), union(A, B)), difference(A, B)), greater_than(cardinality(difference(A, B)), cardinality(intersection(A, B))))",4969
360,"or(subset_eq(index(cardinality(A), union(A, B)), difference(A, B)), subset_eq(index(cardinality(B), union(A, B)), difference(B, A)))",4878
361,"subset_eq(union(index(cardinality(A), B), index(cardinality(A), union(A, B))), index(cardinality(intersection(A, B)), difference(B, A)))",6231
362,"subset_eq(union(index(cardinality(A), difference(B, A)), index(cardinality(B), union(A, B))), intersection(B, index(cardinality(B), A)))",6747
363,"or(subset_eq(index(cardinality(B), A), B), greater_than(cardinality(difference(B, A)), cardinality(intersection(A, B))))",3393
364,"or(subset_eq(A, index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",4187
365,"subset_eq(index(cardinality(difference(A, B)), A), index(cardinality(difference(B, A)), difference(A, B)))",8637
366,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), intersection(B, index(cardinality(A), union(A, B))))",6443
367,"and(subset_eq(index(cardinality(A), union(A, B)), difference(B, A)), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",2569
368,"and(subset_eq(B, index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), A), B))",1895
369,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), difference(A, B))",2318
370,"and(subset_eq(difference(B, A), index(cardinality(B), union(A, B))), subset_eq(index(cardinality(B), A), difference(A, B)))",2148
371,"and(or(subset_eq(A, difference(A, A)), greater_than(cardinality(B), cardinality(A))), subset_eq(index(cardinality(B), union(A, B)), A))",1442
372,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), union(difference(B, A), index(cardinality(B), difference(A, B))))",9034
373,"or(and(not(subset_eq(B, A)), subset_eq(A, difference(A, B))), greater_than(cardinality(intersection(A, B)), cardinality(difference(A, B))))",3408
374,"subset_eq(index(cardinality(difference(B, A)), union(A, B)), union(A, index(cardinality(A), B)))",9144
375,"subset_eq(intersection(A, B), index(cardinality(difference(B, A)), union(A, B)))",5290
376,"or(subset_eq(index(cardinality(A), union(A, B)), index(cardinality(A), B)), greater_than(cardinality(difference(A, B)), cardinality(B)))",3548
377,"subset_eq(difference(index(cardinality(B), union(A, B)), index(cardinality(B), difference(A, B))), difference(index(cardinality(A), union(A, B)), B))",8243
378,"subset_eq(union(A, index(cardinality(A), union(A, B))), difference(A, index(cardinality(A), B)))",2246
379,"subset_eq(index(cardinality(difference(A, B)), union(A, B)), index(cardinality(B), difference(A, B)))",5599
380,"subset_eq(index(cardinality(difference(B, A)), union(difference(A, B), difference(B, A))), difference(union(A, B), index(cardinality(A), union(A, B))))",9482
381,"subset_eq(intersection(A, B), difference(index(cardinality(B), union(A, B)), index(cardinality(A), union(A, B))))",2022
382,"subset_eq(index(cardinality(difference(A, A)), union(difference(A, B), difference(B, A))), A)",5518
383,"subset_eq(difference(index(cardinality(A), union(A, B)), index(cardinality(A), B)), difference(A, index(cardinality(B), A)))",7849
384,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), index(cardinality(difference(B, A)), union(A, B)))",6493
385,"or(subset_eq(A, index(cardinality(B), A)), subset_eq(index(cardinality(B), A), index(cardinality(A), union(A, B))))",4105
386,"subset_eq(union(B, index(cardinality(B), difference(A, B))), difference(A, index(cardinality(B), A)))",5717
387,"subset_eq(union(index(cardinality(B), A), index(cardinality(A), difference(B, A))), union(difference(A, B), index(cardinality(A), union(A, B))))",6438
388,"subset_eq(index(cardinality(B), union(difference(A, B), difference(B, A))), difference(B, index(cardinality(A), B)))",8362
389,"or(greater_than(cardinality(B), cardinality(A)), subset_eq(index(cardinality(B), union(A, B)), index(cardinality(B), A)))",3182
390,"subset_eq(index(cardinality(intersection(A, B)), difference(B, A)), difference(index(cardinality(A), B), index(cardinality(A), difference(B, A))))",8914
391,"and(not(subset_eq(A, B)), subset_eq(A, index(cardinality(B), union(A, B))))",210
392,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), index(cardinality(difference(A, B)), intersection(A, B)))",6183
393,"or(subset_eq(index(cardinality(B), A), B), subset_eq(index(cardinality(B), union(A, B)), intersection(A, B)))",4713
394,"subset_eq(union(index(cardinality(A), B), index(cardinality(B), A)), difference(index(cardinality(A), B), index(cardinality(A), union(A, B))))",6153
