expression,force,flavor,can_express,polarity,register,syntactically_negated,full_form,notes
Jambpen dong,weak necessity,epistemic,?,negative,-,yes,Mai jambpen dong,
Jambpen dong,weak,epistemic,?,negative,-,yes,Mai jambpen dong,
Jambpen dong,strong,deontic,1,negative,-,yes,Mai jambpen dong,
Jambpen dong,weak necessity,deontic,?,negative,-,yes,Mai jambpen dong,
Jambpen dong,weak,deontic,0,negative,-,yes,Mai jambpen dong,
Jambpen dong,strong,teleological,?,negative,-,yes,Mai jambpen dong,
Jambpen dong,weak necessity,teleological,?,negative,-,yes,Mai jambpen dong,
Jambpen dong,weak,teleological,?,negative,-,yes,Mai jambpen dong,
Jambpen dong,strong,circumstantial,?,negative,-,yes,Mai jambpen dong,
Jambpen dong,weak,circumstantial,?,negative,-,yes,Mai jambpen dong,
Jambpen dong,strong,bouletic,?,negative,-,yes,Mai jambpen dong,
Dong,strong,epistemic,?,negative,-,yes,Mai dong ,
Dong,weak necessity,epistemic,?,negative,-,yes,Mai dong ,
Dong,weak,epistemic,?,negative,-,yes,Mai dong ,
Dong,strong,deontic,?,negative,-,yes,Mai dong ,
Dong,weak necessity,deontic,?,negative,-,yes,Mai dong ,
Dong,weak,deontic,?,negative,-,yes,Mai dong ,
Dong,strong,teleological,1,negative,-,yes,Mai dong ,
Dong,weak necessity,teleological,?,negative,-,yes,Mai dong ,
Dong,weak,teleological,?,negative,-,yes,Mai dong ,
Dong,strong,circumstantial,1,negative,-,yes,Mai dong ,
Dong,weak,circumstantial,?,negative,-,yes,Mai dong ,
Dong,strong,bouletic,?,negative,-,yes,Mai dong ,
Dong jambpen,strong,epistemic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak necessity,epistemic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak,epistemic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,strong,deontic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak necessity,deontic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak,deontic,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,strong,teleological,1,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak necessity,teleological,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak,teleological,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,strong,circumstantial,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,weak,circumstantial,?,negative,-,yes,Mai dong jambpen,
Dong jambpen,strong,bouletic,?,negative,-,yes,Mai dong jambpen,
